title,url,author,release_date,language,reading_level,downloads_last_30d
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African",https://www.gutenberg.org/ebooks/15399,Olaudah Equiano,"Mar 17, 2005",English,Plain English. Easily understood.,6431
"How I found Livingstone :  Travels, adventures, and discoveres in Central Africa, including an account of four months' residence with Dr. Livingstone",https://www.gutenberg.org/ebooks/5157,Henry M. Stanley,"Feb 1, 2004",English,Plain English. Easily understood.,1303
"The History of the Rise, Progress and Accomplishment of the Abolition of the African Slave-Trade, by the British Parliament (1839)",https://www.gutenberg.org/ebooks/10633,Thomas Clarkson,"Jan 1, 2004",English,Difficult to read.,1194
Missionary Travels and Researches in South Africa,https://www.gutenberg.org/ebooks/1039,David Livingstone,"Feb 11, 2006",English,Difficult to read.,1185
"The Last Journals of David Livingstone, in Central Africa, from 1865 to His Death, Volume I (of 2), 1866-1868",https://www.gutenberg.org/ebooks/16672,David Livingstone,"Sep 7, 2005",English,Fairly difficult to read.,958
"Travels in West Africa: Congo Français, Corisco and Cameroons",https://www.gutenberg.org/ebooks/5891,Mary Henrietta Kingsley,"Jun 1, 2004",English,Fairly difficult to read.,877
The Suppression of the African Slave Trade to the United States of America,https://www.gutenberg.org/ebooks/17700,W. E. B. Du Bois,"Feb 7, 2006",English,Fairly difficult to read.,816
The Story of an African Farm,https://www.gutenberg.org/ebooks/1441,Olive Schreiner,"Sep 1, 1998",English,Fairly easy to read.,802
Travels in the Interior of Africa — Volume 01,https://www.gutenberg.org/ebooks/5266,Mungo Park,"Mar 1, 2004",English,Difficult to read.,729
"The Last Journals of David Livingstone, in Central Africa, from 1865 to His Death, Volume II (of  2), 1869-1873",https://www.gutenberg.org/ebooks/17024,David Livingstone,"Nov 8, 2005",English,Fairly difficult to read.,680
"Two Trips to Gorilla Land and the Cataracts of the Congo, Volume 2",https://www.gutenberg.org/ebooks/5761,Sir Richard Francis Burton,"May 1, 2004",English,Plain English. Easily understood.,629
A Winter Tour in South Africa,https://www.gutenberg.org/ebooks/16399,Frederick Young,"Jul 30, 2005",English,Difficult to read.,609
"The Man-Eaters of Tsavo, and Other East African Adventures",https://www.gutenberg.org/ebooks/3810,J. H. Patterson,"Mar 1, 2003",English,Fairly difficult to read.,574
An Account of Timbuctoo and Housa Territories in the Interior of Africa,https://www.gutenberg.org/ebooks/22631,active 1820 Abd Salam Shabeeny,"Sep 16, 2007",English,Difficult to read.,544
An African Millionaire: Episodes in the Life of the Illustrious Colonel Clay,https://www.gutenberg.org/ebooks/4715,Grant Allen,"Dec 1, 2003",English,Difficult to read.,514
"Narrative of a Mission to Central Africa Performed in the Years 1850-51, Volume 2",https://www.gutenberg.org/ebooks/18544,James Richardson,"Jun 9, 2006",English,Difficult to read.,479
The Black Man's Place in South Africa,https://www.gutenberg.org/ebooks/14900,active 1922-1937 Peter Nielsen,"Feb 4, 2005",English,Difficult to read.,465
Native Life in South Africa,https://www.gutenberg.org/ebooks/1452,Sol. T. Plaatje,"Sep 1, 1998",English,Difficult to read.,458
"Narrative of a Mission to Central Africa Performed in the Years 1850-51, Volume 1",https://www.gutenberg.org/ebooks/17164,James Richardson,"Nov 27, 2005",English,Difficult to read.,412
First Footsteps in East Africa,https://www.gutenberg.org/ebooks/6886,Sir Richard Francis Burton,"Nov 1, 2004",English,Difficult to read.,408
Reminiscences of a South African Pioneer,https://www.gutenberg.org/ebooks/23638,W. C. Scully,"Nov 26, 2007",English,Difficult to read.,400
"Travels of Richard and John Lander into the interior of Africa, for the discovery of the course and termination of the Niger",https://www.gutenberg.org/ebooks/12667,Robert Huish,"Jun 1, 2004",English,Fairly difficult to read.,389
The Souls of Black Folk,https://www.gutenberg.org/ebooks/408,W. E. B. Du Bois,"Jan 1, 1996",English,Plain English. Easily understood.,12616
"Narrative of the Life of Frederick Douglass, an American Slave",https://www.gutenberg.org/ebooks/23,Frederick Douglass,"Jan 12, 2006",English,Difficult to read.,10318
"Poems on various subjects, religious and moral",https://www.gutenberg.org/ebooks/409,Phillis Wheatley,"Jan 1, 1996",English,Plain English. Easily understood.,4054
